,Mouse ID,Drug Regimen,Sex,Age_months,Weight (g),Timepoint,Tumor Volume (mm3),Metastatic Sites,timepoint ID,Duplicate
48,g791,Ramicane,Male,11,16,40,31.36940573,1,g79140,False
49,g791,Ramicane,Male,11,16,45,29.12847181,1,g79145,False
50,s508,Ramicane,Male,1,17,0,45.0,0,s5080,False
51,s508,Ramicane,Male,1,17,5,38.71187185,0,s5085,False
52,s508,Ramicane,Male,1,17,10,34.850997899999996,0,s50810,False
53,s508,Ramicane,Male,1,17,15,35.27690634,0,s50815,False
54,s508,Ramicane,Male,1,17,20,35.92865083,0,s50820,False
55,s508,Ramicane,Male,1,17,25,36.33856894,0,s50825,False
56,s508,Ramicane,Male,1,17,30,35.47402235,0,s50830,False
57,s508,Ramicane,Male,1,17,35,35.8461407,0,s50835,False
58,s508,Ramicane,Male,1,17,40,32.79817119,0,s50840,False
59,s508,Ramicane,Male,1,17,45,30.27623175,0,s50845,False
60,f966,Capomulin,Male,16,17,0,45.0,0,f9660,False
61,f966,Capomulin,Male,16,17,5,38.79647373,0,f9665,False
62,f966,Capomulin,Male,16,17,10,35.6244027,0,f96610,False
63,f966,Capomulin,Male,16,17,15,32.62300253,0,f96615,False
64,f966,Capomulin,Male,16,17,20,30.48598484,0,f96620,False
65,m546,Ramicane,Male,18,16,0,45.0,0,m5460,False
66,m546,Ramicane,Male,18,16,5,42.99887638,0,m5465,False
67,m546,Ramicane,Male,18,16,10,43.74822357,0,m54610,False
68,m546,Ramicane,Male,18,16,15,39.89743533,0,m54615,False
69,m546,Ramicane,Male,18,16,20,36.71229535,0,m54620,False
70,m546,Ramicane,Male,18,16,25,37.44444543,0,m54625,False
71,m546,Ramicane,Male,18,16,30,37.96993365,0,m54630,False
72,m546,Ramicane,Male,18,16,35,38.62753581,1,m54635,False
73,m546,Ramicane,Male,18,16,40,35.114575200000004,1,m54640,False
74,m546,Ramicane,Male,18,16,45,30.56462509,1,m54645,False
75,z578,Ramicane,Male,11,16,0,45.0,0,z5780,False
76,z578,Ramicane,Male,11,16,5,42.18878662,0,z5785,False
77,z578,Ramicane,Male,11,16,10,42.95211843,0,z57810,False
78,z578,Ramicane,Male,11,16,15,38.68851607,0,z57815,False
79,z578,Ramicane,Male,11,16,20,36.89001635,0,z57820,False
80,z578,Ramicane,Male,11,16,25,37.41411419,0,z57825,False
81,z578,Ramicane,Male,11,16,30,37.81593487,0,z57830,False
82,z578,Ramicane,Male,11,16,35,38.50482444,0,z57835,False
83,z578,Ramicane,Male,11,16,40,34.02209336,0,z57840,False
84,z578,Ramicane,Male,11,16,45,30.63869575,0,z57845,False
85,j913,Ramicane,Female,4,17,0,45.0,0,j9130,False
86,j913,Ramicane,Female,4,17,5,44.01490022,0,j9135,False
87,j913,Ramicane,Female,4,17,10,44.49716216,0,j91310,False
88,j913,Ramicane,Female,4,17,15,45.25253427,0,j91315,False
89,j913,Ramicane,Female,4,17,20,42.16834132,0,j91320,False
90,j913,Ramicane,Female,4,17,25,37.86066936,0,j91325,False
91,j913,Ramicane,Female,4,17,30,34.75724046,0,j91330,False
92,j913,Ramicane,Female,4,17,35,35.17014843,0,j91335,False
93,j913,Ramicane,Female,4,17,40,31.00186078,1,j91340,False
94,j913,Ramicane,Female,4,17,45,31.56046955,1,j91345,False
95,u364,Capomulin,Male,18,17,0,45.0,0,u3640,False
96,u364,Capomulin,Male,18,17,5,45.76088647,1,u3645,False
97,u364,Capomulin,Male,18,17,10,46.56841719,2,u36410,False
98,u364,Capomulin,Male,18,17,15,47.21219992,2,u36415,False
99,u364,Capomulin,Male,18,17,20,40.34394812,2,u36420,False
100,u364,Capomulin,Male,18,17,25,35.50361557,2,u36425,False
101,u364,Capomulin,Male,18,17,30,35.9783344,2,u36430,False
102,u364,Capomulin,Male,18,17,35,35.45948978,2,u36435,False
103,u364,Capomulin,Male,18,17,40,36.02413752,2,u36440,False
104,u364,Capomulin,Male,18,17,45,31.02392294,3,u36445,False
105,n364,Ramicane,Male,4,17,0,45.0,0,n3640,False
106,n364,Ramicane,Male,4,17,5,45.52187471,0,n3645,False
107,n364,Ramicane,Male,4,17,10,40.3751382,0,n36410,False
108,n364,Ramicane,Male,4,17,15,36.94027399,0,n36415,False
109,n364,Ramicane,Male,4,17,20,37.4788685,0,n36420,False
110,n364,Ramicane,Male,4,17,25,33.20500824,0,n36425,False
111,n364,Ramicane,Male,4,17,30,33.817758000000005,0,n36430,False
112,n364,Ramicane,Male,4,17,35,34.48752204,1,n36435,False
113,n364,Ramicane,Male,4,17,40,34.95473311,1,n36440,False
114,n364,Ramicane,Male,4,17,45,31.09533505,1,n36445,False
115,y793,Capomulin,Male,17,17,0,45.0,0,y7930,False
116,y793,Capomulin,Male,17,17,5,41.01991315,0,y7935,False
117,y793,Capomulin,Male,17,17,10,41.63001026,1,y79310,False
118,y793,Capomulin,Male,17,17,15,42.28366512,1,y79315,False
119,y793,Capomulin,Male,17,17,20,40.71642815,2,y79320,False
120,y793,Capomulin,Male,17,17,25,38.9927339,2,y79325,False
121,y793,Capomulin,Male,17,17,30,35.72602314,2,y79330,False
122,y793,Capomulin,Male,17,17,35,36.3278696,2,y79335,False
123,y793,Capomulin,Male,17,17,40,31.47541076,2,y79340,False
124,y793,Capomulin,Male,17,17,45,31.896238399999998,2,y79345,False
125,r554,Capomulin,Female,8,17,0,45.0,0,r5540,False
126,r554,Capomulin,Female,8,17,5,45.78174579,1,r5545,False
127,r554,Capomulin,Female,8,17,10,39.0054935,2,r55410,False
128,r554,Capomulin,Female,8,17,15,35.46375763,2,r55415,False
129,r554,Capomulin,Female,8,17,20,36.01558858,2,r55420,False
130,r554,Capomulin,Female,8,17,25,33.89334515,3,r55425,False
131,r554,Capomulin,Female,8,17,30,32.68065459,3,r55430,False
132,r554,Capomulin,Female,8,17,35,33.06933705,3,r55435,False
133,r554,Capomulin,Female,8,17,40,31.80484133,3,r55440,False
134,r554,Capomulin,Female,8,17,45,32.37735684,3,r55445,False
135,m957,Capomulin,Female,3,19,0,45.0,0,m9570,False
136,m957,Capomulin,Female,3,19,5,45.62238149,1,m9575,False
137,m957,Capomulin,Female,3,19,10,46.414517700000005,1,m95710,False
138,m957,Capomulin,Female,3,19,15,39.80445341,1,m95715,False
139,m957,Capomulin,Female,3,19,20,38.90934919,1,m95720,False
140,m957,Capomulin,Female,3,19,25,37.69543154,1,m95725,False
141,m957,Capomulin,Female,3,19,30,38.21247939,1,m95730,False
142,m957,Capomulin,Female,3,19,35,32.56283914,1,m95735,False
143,m957,Capomulin,Female,3,19,40,32.94761484,1,m95740,False
144,m957,Capomulin,Female,3,19,45,33.32909778,1,m95745,False
145,c758,Ramicane,Male,9,17,0,45.0,0,c7580,False
146,c758,Ramicane,Male,9,17,5,45.5786783,0,c7585,False
147,c758,Ramicane,Male,9,17,10,46.28799223,0,c75810,False
148,c758,Ramicane,Male,9,17,15,46.94094512,1,c75815,False
149,c758,Ramicane,Male,9,17,20,43.1263114,1,c75820,False
150,c758,Ramicane,Male,9,17,25,43.602267299999994,1,c75825,False
151,c758,Ramicane,Male,9,17,30,44.11827028,1,c75830,False
152,c758,Ramicane,Male,9,17,35,37.80238546,1,c75835,False
153,c758,Ramicane,Male,9,17,40,32.83318858,1,c75840,False
154,c758,Ramicane,Male,9,17,45,33.39765251,1,c75845,False
155,t565,Capomulin,Female,20,17,0,45.0,0,t5650,False
156,t565,Capomulin,Female,20,17,5,45.8956472,0,t5655,False
157,t565,Capomulin,Female,20,17,10,46.74900552,0,t56510,False
158,t565,Capomulin,Female,20,17,15,44.44094861,0,t56515,False
159,t565,Capomulin,Female,20,17,20,39.0702138,0,t56520,False
160,t565,Capomulin,Female,20,17,25,37.34220976,0,t56525,False
161,t565,Capomulin,Female,20,17,30,32.86891617,0,t56530,False
162,t565,Capomulin,Female,20,17,35,33.51567063,0,t56535,False
163,t565,Capomulin,Female,20,17,40,33.94934131,0,t56540,False
164,t565,Capomulin,Female,20,17,45,34.45529799,0,t56545,False
165,a644,Ramicane,Female,7,17,0,45.0,0,a6440,False
166,a644,Ramicane,Female,7,17,5,45.55015754,0,a6445,False
167,a644,Ramicane,Female,7,17,10,46.38071258,0,a64410,False
168,a644,Ramicane,Female,7,17,15,46.91089166,0,a64415,False
169,a644,Ramicane,Female,7,17,20,45.86506461,0,a64420,False
170,a644,Ramicane,Female,7,17,25,41.48122408,0,a64425,False
171,a644,Ramicane,Female,7,17,30,37.21112063,0,a64430,False
172,a644,Ramicane,Female,7,17,35,35.12863083,0,a64435,False
173,a644,Ramicane,Female,7,17,40,35.77945086,0,a64440,False
174,a644,Ramicane,Female,7,17,45,32.97852192,1,a64445,False
175,i177,Ramicane,Male,10,18,0,45.0,0,i1770,False
176,i177,Ramicane,Male,10,18,5,44.06539783,0,i1775,False
177,i177,Ramicane,Male,10,18,10,41.02092924,0,i17710,False
178,i177,Ramicane,Male,10,18,15,40.33093479,0,i17715,False
179,i177,Ramicane,Male,10,18,20,35.34536136,0,i17720,False
180,i177,Ramicane,Male,10,18,25,34.0821803,1,i17725,False
181,i177,Ramicane,Male,10,18,30,34.71147302,1,i17730,False
182,i177,Ramicane,Male,10,18,35,35.1521662,1,i17735,False
183,i177,Ramicane,Male,10,18,40,35.55793279,2,i17740,False
184,i177,Ramicane,Male,10,18,45,33.56240217,3,i17745,False
185,j989,Ramicane,Male,8,19,0,45.0,0,j9890,False
186,j989,Ramicane,Male,8,19,5,45.62071835,1,j9895,False
187,j989,Ramicane,Male,8,19,10,46.34383237,1,j98910,False
188,j989,Ramicane,Male,8,19,15,41.12835439,1,j98915,False
189,j989,Ramicane,Male,8,19,20,41.63534426,1,j98920,False
190,j989,Ramicane,Male,8,19,25,39.93411249,1,j98925,False
191,j989,Ramicane,Male,8,19,30,34.67178107,1,j98930,False
192,j989,Ramicane,Male,8,19,35,35.1155898,1,j98935,False
193,j989,Ramicane,Male,8,19,40,35.50119014,1,j98940,False
194,j989,Ramicane,Male,8,19,45,36.13485243,1,j98945,False
195,i738,Capomulin,Female,23,20,0,45.0,0,i7380,False
196,i738,Capomulin,Female,23,20,5,45.59568527,0,i7385,False
197,i738,Capomulin,Female,23,20,10,43.42101414,0,i73810,False
198,i738,Capomulin,Female,23,20,15,37.97877782,0,i73815,False
199,i738,Capomulin,Female,23,20,20,38.53113634,0,i73820,False
200,i738,Capomulin,Female,23,20,25,34.97343761,0,i73825,False
201,i738,Capomulin,Female,23,20,30,35.57877987,1,i73830,False
202,i738,Capomulin,Female,23,20,35,36.17595269,1,i73835,False
203,i738,Capomulin,Female,23,20,40,36.84389799,2,i73840,False
204,i738,Capomulin,Female,23,20,45,37.31184577,2,i73845,False
205,a520,Ramicane,Male,13,21,0,45.0,0,a5200,False
206,a520,Ramicane,Male,13,21,5,38.72370695,0,a5205,False
207,a520,Ramicane,Male,13,21,10,36.42938781,0,a52010,False
208,a520,Ramicane,Male,13,21,15,35.590253999999995,0,a52015,False
209,a520,Ramicane,Male,13,21,20,35.94774514,0,a52020,False
210,a520,Ramicane,Male,13,21,25,36.55858129,1,a52025,False
211,a520,Ramicane,Male,13,21,30,36.94770981,1,a52030,False
212,a520,Ramicane,Male,13,21,35,37.62471026,1,a52035,False
213,a520,Ramicane,Male,13,21,40,38.25972497,1,a52040,False
214,a520,Ramicane,Male,13,21,45,38.81036633,1,a52045,False
215,w914,Capomulin,Male,24,21,0,45.0,0,w9140,False
216,w914,Capomulin,Male,24,21,5,45.89372032,0,w9145,False
217,w914,Capomulin,Male,24,21,10,43.23196275,0,w91410,False
218,w914,Capomulin,Male,24,21,15,43.68844893,0,w91415,False
219,w914,Capomulin,Male,24,21,20,41.10809233,0,w91420,False
220,w914,Capomulin,Male,24,21,25,40.29191661,0,w91425,False
221,w914,Capomulin,Male,24,21,30,40.99311013,0,w91430,False
222,w914,Capomulin,Male,24,21,35,41.66491577,1,w91435,False
223,w914,Capomulin,Male,24,21,40,35.61130861,2,w91440,False
224,w914,Capomulin,Male,24,21,45,36.04104736,2,w91445,False
225,r811,Ramicane,Male,9,19,0,45.0,0,r8110,False
226,r811,Ramicane,Male,9,19,5,45.62580225,0,r8115,False
227,r811,Ramicane,Male,9,19,10,39.453903000000004,0,r81110,False
228,r811,Ramicane,Male,9,19,15,40.02229235,0,r81115,False
229,r811,Ramicane,Male,9,19,20,40.7728027,0,r81120,False
230,r811,Ramicane,Male,9,19,25,37.61401068,0,r81125,False
231,r811,Ramicane,Male,9,19,30,38.24206639,0,r81130,False
232,r811,Ramicane,Male,9,19,35,36.00302016,1,r81135,False
233,r811,Ramicane,Male,9,19,40,36.5200329,1,r81140,False
234,r811,Ramicane,Male,9,19,45,37.22565033,1,r81145,False
235,g288,Capomulin,Male,3,19,0,45.0,0,g2880,False
236,g288,Capomulin,Male,3,19,5,45.83939976,0,g2885,False
237,g288,Capomulin,Male,3,19,10,46.30400254,1,g28810,False
238,g288,Capomulin,Male,3,19,15,42.17230079,1,g28815,False
239,g288,Capomulin,Male,3,19,20,42.95712001,1,g28820,False
240,g288,Capomulin,Male,3,19,25,42.36869239,1,g28825,False
241,g288,Capomulin,Male,3,19,30,42.87446056,1,g28830,False
242,g288,Capomulin,Male,3,19,35,38.95411458,1,g28835,False
243,g288,Capomulin,Male,3,19,40,36.35685121,1,g28840,False
244,g288,Capomulin,Male,3,19,45,37.07402422,1,g28845,False
245,i334,Ramicane,Female,8,20,0,45.0,0,i3340,False
246,i334,Ramicane,Female,8,20,5,41.02051821,0,i3345,False
247,i334,Ramicane,Female,8,20,10,41.63124731,0,i33410,False
248,i334,Ramicane,Female,8,20,15,39.15800115,0,i33415,False
249,i334,Ramicane,Female,8,20,20,39.687831700000004,0,i33420,False
250,i334,Ramicane,Female,8,20,25,38.24881732,1,i33425,False
251,i334,Ramicane,Female,8,20,30,39.00555435,1,i33430,False
252,i334,Ramicane,Female,8,20,35,39.7695521,2,i33435,False
253,i334,Ramicane,Female,8,20,40,40.44237037,2,i33440,False
254,i334,Ramicane,Female,8,20,45,36.37451039,2,i33445,False
255,q610,Ramicane,Female,18,21,0,45.0,0,q6100,False
256,q610,Ramicane,Female,18,21,5,45.62949421,0,q6105,False
257,q610,Ramicane,Female,18,21,10,44.99148471,0,q61010,False
258,q610,Ramicane,Female,18,21,15,45.88902756,0,q61015,False
259,q610,Ramicane,Female,18,21,20,46.58543347,0,q61020,False
260,q610,Ramicane,Female,18,21,25,40.14645019,0,q61025,False
261,q610,Ramicane,Female,18,21,30,40.66834256,1,q61030,False
262,q610,Ramicane,Female,18,21,35,36.56165229,2,q61035,False
263,d251,Ramicane,Female,8,19,0,45.0,0,d2510,False
264,d251,Ramicane,Female,8,19,5,41.74635495,1,d2515,False
265,d251,Ramicane,Female,8,19,10,42.43225791,1,d25110,False
266,d251,Ramicane,Female,8,19,15,39.47278744,1,d25115,False
267,d251,Ramicane,Female,8,19,20,37.65209085,1,d25120,False
268,d251,Ramicane,Female,8,19,25,38.09751328,1,d25125,False
269,d251,Ramicane,Female,8,19,30,38.71825638,2,d25130,False
270,d251,Ramicane,Female,8,19,35,37.70852942,2,d25135,False
271,d251,Ramicane,Female,8,19,40,38.26540379,2,d25140,False
272,d251,Ramicane,Female,8,19,45,37.31123552,2,d25145,False
273,l897,Capomulin,Male,17,19,0,45.0,0,l8970,False
274,l897,Capomulin,Male,17,19,5,45.46224327,0,l8975,False
275,l897,Capomulin,Male,17,19,10,46.15473721,0,l89710,False
276,l897,Capomulin,Male,17,19,15,44.0615214,0,l89715,False
277,l897,Capomulin,Male,17,19,20,44.81309343,0,l89720,False
278,l897,Capomulin,Male,17,19,25,45.35467916,0,l89725,False
279,l897,Capomulin,Male,17,19,30,39.35279201,1,l89730,False
280,l897,Capomulin,Male,17,19,35,37.68276664,1,l89735,False
281,l897,Capomulin,Male,17,19,40,38.34390154,1,l89740,False
282,l897,Capomulin,Male,17,19,45,38.84687569,1,l89745,False
283,c458,Ramicane,Female,23,20,0,45.0,0,c4580,False
284,c458,Ramicane,Female,23,20,5,45.72227949,0,c4585,False
285,c458,Ramicane,Female,23,20,10,44.45437828,1,c45810,False
286,c458,Ramicane,Female,23,20,15,45.10742313,2,c45815,False
287,c458,Ramicane,Female,23,20,20,39.50513508,2,c45820,False
288,c458,Ramicane,Female,23,20,25,37.75314964,2,c45825,False
289,c458,Ramicane,Female,23,20,30,38.34200823,2,c45830,False
290,b742,Capomulin,Male,7,21,0,45.0,0,b7420,False
291,b742,Capomulin,Male,7,21,5,41.53409702,0,b7425,False
292,b742,Capomulin,Male,7,21,10,41.99922813,0,b74210,False
293,b742,Capomulin,Male,7,21,15,39.52484301,0,b74215,False
294,b742,Capomulin,Male,7,21,20,37.95035546,0,b74220,False
295,b742,Capomulin,Male,7,21,25,38.61768433,0,b74225,False
296,b742,Capomulin,Male,7,21,30,39.1679495,0,b74230,False
297,b742,Capomulin,Male,7,21,35,39.84757556,0,b74235,False
298,b742,Capomulin,Male,7,21,40,38.255627399999995,0,b74240,False
299,b742,Capomulin,Male,7,21,45,38.93963263,0,b74245,False
300,b128,Capomulin,Female,9,22,0,45.0,0,b1280,False
301,b128,Capomulin,Female,9,22,5,45.65133131,0,b1285,False
302,b128,Capomulin,Female,9,22,10,43.2708519,0,b12810,False
303,b128,Capomulin,Female,9,22,15,43.78489343,0,b12815,False
304,b128,Capomulin,Female,9,22,20,42.731552,0,b12820,False
305,b128,Capomulin,Female,9,22,25,43.26214483,1,b12825,False
306,b128,Capomulin,Female,9,22,30,40.60533486,1,b12830,False
307,b128,Capomulin,Female,9,22,35,37.96764437,1,b12835,False
308,b128,Capomulin,Female,9,22,40,38.3797259,2,b12840,False
309,b128,Capomulin,Female,9,22,45,38.98287774,2,b12845,False
310,j246,Capomulin,Female,21,21,0,45.0,0,j2460,False
311,j246,Capomulin,Female,21,21,5,45.64143788,0,j2465,False
312,j246,Capomulin,Female,21,21,10,46.408361299999996,0,j24610,False
313,j246,Capomulin,Female,21,21,15,43.31265415,0,j24615,False
314,j246,Capomulin,Female,21,21,20,44.02037009,0,j24620,False
315,j246,Capomulin,Female,21,21,25,44.55522595,0,j24625,False
316,j246,Capomulin,Female,21,21,30,38.04408202,1,j24630,False
317,j246,Capomulin,Female,21,21,35,38.75326548,1,j24635,False
318,a411,Ramicane,Male,3,22,0,45.0,0,a4110,False
319,a411,Ramicane,Male,3,22,5,45.46667714,0,a4115,False
320,a411,Ramicane,Male,3,22,10,40.75978762,1,a41110,False
321,a411,Ramicane,Male,3,22,15,41.48416885,1,a41115,False
322,a411,Ramicane,Male,3,22,20,38.08737318,1,a41120,False
323,a411,Ramicane,Male,3,22,25,38.701438399999994,1,a41125,False
324,a411,Ramicane,Male,3,22,30,39.13073724,1,a41130,False
325,a411,Ramicane,Male,3,22,35,39.71723589,1,a41135,False
326,a411,Ramicane,Male,3,22,40,40.25881765,1,a41140,False
327,a411,Ramicane,Male,3,22,45,38.407618299999996,1,a41145,False
328,j119,Capomulin,Female,7,23,0,45.0,0,j1190,False
329,j119,Capomulin,Female,7,23,5,45.83899787,0,j1195,False
330,j119,Capomulin,Female,7,23,10,46.42536551,0,j11910,False
331,j119,Capomulin,Female,7,23,15,47.32298428,0,j11915,False
332,j119,Capomulin,Female,7,23,20,48.15820939,1,j11920,False
333,j119,Capomulin,Female,7,23,25,42.41716589,1,j11925,False
334,j119,Capomulin,Female,7,23,30,43.01368114,1,j11930,False
335,j119,Capomulin,Female,7,23,35,43.76570537,1,j11935,False
336,j119,Capomulin,Female,7,23,40,44.5850896,1,j11940,False
337,j119,Capomulin,Female,7,23,45,38.125164399999996,1,j11945,False
338,w150,Capomulin,Male,23,23,0,45.0,0,w1500,False
339,w150,Capomulin,Male,23,23,5,39.20212894,0,w1505,False
340,w150,Capomulin,Male,23,23,10,39.95234669,0,w15010,False
341,v923,Capomulin,Female,19,21,0,45.0,0,v9230,False
342,v923,Capomulin,Female,19,21,5,45.70443431,0,v9235,False
343,v923,Capomulin,Female,19,21,10,39.84822328,0,v92310,False
344,v923,Capomulin,Female,19,21,15,40.45798877,0,v92315,False
345,v923,Capomulin,Female,19,21,20,39.64829568,0,v92320,False
346,v923,Capomulin,Female,19,21,25,40.15641269,1,v92325,False
347,v923,Capomulin,Female,19,21,30,40.75221626,2,v92330,False
348,v923,Capomulin,Female,19,21,35,41.43924156,2,v92335,False
349,v923,Capomulin,Female,19,21,40,42.1510148,2,v92340,False
350,v923,Capomulin,Female,19,21,45,40.65812366,2,v92345,False
351,g316,Capomulin,Female,22,22,0,45.0,0,g3160,False
352,g316,Capomulin,Female,22,22,5,44.02275246,0,g3165,False
353,g316,Capomulin,Female,22,22,10,44.50204246,0,g31610,False
354,g316,Capomulin,Female,22,22,15,45.21674299,0,g31615,False
355,g316,Capomulin,Female,22,22,20,45.93332219,1,g31620,False
356,g316,Capomulin,Female,22,22,25,46.80922469,1,g31625,False
357,g316,Capomulin,Female,22,22,30,44.22147988,2,g31630,False
358,g316,Capomulin,Female,22,22,35,44.70283296,2,g31635,False
359,g316,Capomulin,Female,22,22,40,45.56582103,2,g31640,False
360,g316,Capomulin,Female,22,22,45,40.1592203,2,g31645,False
361,s710,Capomulin,Female,1,23,0,45.0,0,s7100,False
362,s710,Capomulin,Female,1,23,5,43.180977399999996,0,s7105,False
363,s710,Capomulin,Female,1,23,10,43.68802627,0,s71010,False
364,s710,Capomulin,Female,1,23,15,41.84523536,0,s71015,False
365,s710,Capomulin,Female,1,23,20,42.62996266,1,s71020,False
366,s710,Capomulin,Female,1,23,25,43.06040875,1,s71025,False
367,s710,Capomulin,Female,1,23,30,43.57170323,1,s71030,False
368,s710,Capomulin,Female,1,23,35,44.16051879,1,s71035,False
369,s710,Capomulin,Female,1,23,40,40.17192011,1,s71040,False
370,s710,Capomulin,Female,1,23,45,40.72857787,1,s71045,False
371,l509,Capomulin,Male,17,21,0,45.0,0,l5090,False
372,l509,Capomulin,Male,17,21,5,45.85119285,0,l5095,False
373,l509,Capomulin,Male,17,21,10,46.75907363,0,l50910,False
374,l509,Capomulin,Male,17,21,15,47.48859931,1,l50915,False
375,l509,Capomulin,Male,17,21,20,48.07045162,2,l50920,False
376,l509,Capomulin,Male,17,21,25,44.00625702,2,l50925,False
377,l509,Capomulin,Male,17,21,30,44.70805473,2,l50930,False
378,l509,Capomulin,Male,17,21,35,40.207288500000004,2,l50935,False
379,l509,Capomulin,Male,17,21,40,40.77081259,2,l50940,False
380,l509,Capomulin,Male,17,21,45,41.48300765,3,l50945,False
381,r944,Capomulin,Male,12,25,0,45.0,0,r9440,False
382,r944,Capomulin,Male,12,25,5,45.73714484,0,r9445,False
383,r944,Capomulin,Male,12,25,10,46.54429202,0,r94410,False
384,r944,Capomulin,Male,12,25,15,47.37342325,0,r94415,False
385,r944,Capomulin,Male,12,25,20,43.22567119,1,r94420,False
386,r944,Capomulin,Male,12,25,25,41.08699106,1,r94425,False
387,r944,Capomulin,Male,12,25,30,41.68079111,1,r94430,False
388,r944,Capomulin,Male,12,25,35,40.40176542,2,r94435,False
389,r944,Capomulin,Male,12,25,40,41.04204489999999,2,r94440,False
390,r944,Capomulin,Male,12,25,45,41.58152074,2,r94445,False
391,e662,Ramicane,Male,8,24,0,45.0,0,e6620,False
392,e662,Ramicane,Male,8,24,5,45.81628252,0,e6625,False
393,e662,Ramicane,Male,8,24,10,46.40908385,0,e66210,False
394,e662,Ramicane,Male,8,24,15,43.55377339,0,e66215,False
395,e662,Ramicane,Male,8,24,20,44.0012958,0,e66220,False
396,e662,Ramicane,Male,8,24,25,44.66459432,1,e66225,False
397,e662,Ramicane,Male,8,24,30,45.35023242,1,e66230,False
398,e662,Ramicane,Male,8,24,35,43.22027636,1,e66235,False
399,e662,Ramicane,Male,8,24,40,44.00672385,2,e66240,False
400,e662,Ramicane,Male,8,24,45,40.65900627,2,e66245,False
401,u196,Ramicane,Male,18,25,0,45.0,0,u1960,False
402,u196,Ramicane,Male,18,25,5,45.55746444,1,u1965,False
403,u196,Ramicane,Male,18,25,10,46.42294306,1,u19610,False
404,u196,Ramicane,Male,18,25,15,47.22717065,1,u19615,False
405,u196,Ramicane,Male,18,25,20,46.10536303,1,u19620,False
406,u196,Ramicane,Male,18,25,25,46.70532539999999,1,u19625,False
407,u196,Ramicane,Male,18,25,30,47.62281636,2,u19630,False
408,u196,Ramicane,Male,18,25,35,47.00146542,2,u19635,False
